match_type,date,time,location,opp_team,home_away,opp_score,barca_score,barca_result,stadium,attendance,referee
Summer Tour,2011-07-23,20:30 CEST,"Split, Croatia",Hajduk Split,A,0,0,D,Poljud Stadium,35000,Goran Gabrilo
Audi Cup Semi-final,2011-07-26,18:15 CEST,"Munich, Germany",Internacional,A,2,2,D,Allianz Arena,69000,Felix Brych
Audi Cup Final,2011-07-27,20:45 CEST,"Munich, Germany",Bayern Munich,A,0,2,W,Allianz Arena,69000,Wolfgang Stark
World Football Challenge,2011-07-30,19:00 EDT,"Landover, Maryland, United States",Manchester United,A,2,1,L,FedEx Field,81107,Ricardo Salazar
World Football Challenge,2011-08-03,20:00 EDT,"Miami Gardens, Florida, United States",Guadalajara,A,4,1,L,Sun Life Stadium,70080,Baldomero Toledo
World Football Challenge,2011-08-06,15:00 CDT,"Arlington, Texas, United States",América,A,0,2,W,Cowboys Stadium,60807,Ricardo Salazar
Joan Gamper Trophy,2011-08-22,19:00 CEST,"Barcelona, Spain",Napoli,H,0,5,W,Camp Nou,78002,Álvarez Izquierdo
First leg,2011-08-14,22:00 CEST,Madrid,Real Madrid,A,2,2,D,Santiago Bernabéu,81177,Teixeira Vitienes
Second leg,2011-08-17,23:00 CEST,Barcelona,Real Madrid,H,2,3,W,Camp Nou,92965,Fernández Borbalán
Final,2011-08-26,20:45 CEST,Monaco,Porto,A,0,2,W,Stade Louis II,18048,Björn Kuipers
Semi-finals,2011-12-14,11:30 CET,"Yokohama, Japan",Al-Sadd,A,0,4,W,International Stadium Yokohama,66298,Joel Aguilar
Final,2011-12-18,11:30 CET,"Yokohama, Japan",Santos,A,0,4,W,International Stadium Yokohama,68166,Ravshan Irmatov
2,2011-08-29,21:00,Barcelona,Villarreal,H,0,5,W,Camp Nou,75097,Turienzo Álvarez
3,2011-09-10,18:00,San Sebastián,Real Sociedad,A,2,2,D,Anoeta,31000,Mateu Lahoz
4,2011-09-17,20:00,Barcelona,Osasuna,H,0,8,W,Camp Nou,70549,Muñiz Fernández
5,2011-09-21,22:00,Valencia,Valencia,A,2,2,D,Mestalla,52250,Velasco Carballo
6,2011-09-24,22:00,Barcelona,Atlético Madrid,H,0,5,W,Camp Nou,83154,Delgado Ferreiro
7,2011-10-02,20:00,Gijón,Sporting Gijón,A,0,1,W,El Molinón,28500,Clos Gómez
8,2011-10-15,20:00,Barcelona,Racing Santander,H,0,3,W,Camp Nou,82225,Ayza Gámez
9,2011-10-22,22:00,Barcelona,Sevilla,H,0,0,D,Camp Nou,82743,Iturralde González
10,2011-10-25,20:00,Granada,Granada,A,0,1,W,Los Cármenes,22000,Muñiz Fernández
11,2011-10-29,20:00,Barcelona,Mallorca,H,0,5,W,Camp Nou,80635,Pérez Montero
12,2011-11-06,20:00,Bilbao,Athletic Bilbao,A,2,2,D,San Mamés,38000,Paradas Romero
13,2011-11-19,20:00,Barcelona,Zaragoza,H,0,4,W,Camp Nou,66692,Undiano Mallenco
14,2011-11-26,22:00,Getafe,Getafe,A,1,0,L,Alfonso Pérez,13600,F. Teixeira Vitienes
17,2011-11-29,21:00,Barcelona,Rayo Vallecano,H,0,4,W,Camp Nou,53775,Pérez Lasa
15,2011-12-03,20:00,Barcelona,Levante,H,0,5,W,Camp Nou,79361,J. A. Teixeira Vitienes
16,2011-12-10,22:00,Madrid,Real Madrid,A,1,3,W,Santiago Bernabéu,85400,Fernández Borbalán
18,2012-01-08,21:30,Cornellà de Llobregat,Espanyol,A,1,1,D,Cornellà-El Prat,35122,Turienzo Álvarez
19,2012-01-15,21:30,Barcelona,Real Betis,H,2,4,W,Camp Nou,69889,Iglesias Villanueva
1,2012-01-22,18:00,Málaga,Málaga,A,1,4,W,La Rosaleda,30000,Undiano Mallenco
21,2012-01-28,22:00,Villarreal,Villarreal,A,0,0,D,El Madrigal,17000,J. A. Teixeira Vitienes
